gruppo,corda,serie,cerchio,misura,cod_carico,cod_vel,marca,modello,dot,battistrada,lotto,shore,targa,cliente,rete,scaffale,ubicazione,pezzi,stagione
Nuove,175,70,14,1757014,88,T,JINYU,nil,2913,07:02,298,72:05:00,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,185,65,15,1856515,88,H,VREDESTEIN,nil,213,nil,538,74:05:00,nil,nil,nil,Scaffale negozio,Scaffale negozio,3,ALL SEASON
Nuove,165,60,14,1656014,79,T,VREDESTEIN,nil,3613,nil,534,76,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,205,55,16,2055516,91,V,YOKOHAMA,BLUE HEARTH,4615,nil,nil,75,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,185,75,16,1857516,104/102 R,C,RUNWAY,ENDURO,4415,nil,nil,73,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,225,70,15,2257015,112/110 R,C,RIKEN,CARGO,3216,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,225,75,16,2257516,121/120 R,C ,SAILUN,nil,3216,nil,479,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,195,65,15,1956515,95,T XL,SAILUN,nil,2415,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,155,65,14,1556514,75,T,FALKEN,HS 449,2514,nil,nil,48,nil,nil,nil,Scaffale negozio,Scaffale negozio,0,ESTIVO
Nuove,195,65,15,1956515,95,V,MICHELIN,CROSS CLIMATE,3315,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ALL SEASON
Nuove,185,55,15,1855515,86,H,MICHELIN,CROSS CLIMATE,2816,nil,nil,45,nil,nil,nil,Scaffale negozio,Scaffale negozio,3,ALL SEASON
Nuove,175,65,14,1756514,82,T,CONTINENTAL,WINTER CONTACT,1916,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,175,65,15,1756515,84,H,EVERGREEN,nil,3911,nil,535,76,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,175,65,15,1756515,84,T,RUNWAY,nil,3013,nil,548,72,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,195,65,15,1956515,95,V,MICHELIN,CROSS CLIMATE,2516,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ALL SEASON
Nuove,225,50,18,2255018,95,T,COOPER,nil,2815,nil,590,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,205,55,16,2055516,91,W,HANKOOK,VENTUS PRIME 2,1116,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,155,65,14,1556514,75,T,PIRELLI,SCORPION 3,4013,nil,nil,69,nil,nil,nil,Scaffale negozio,Scaffale negozio,0,ESTIVO
Nuove,175,65,14,1756514,82,T,KLEBER,KRISALP HP 2,2316,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,205,55,16,2055516,94,V,MICHELIN,CROSS CLIMATE,4816,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,2,ALL SEASON
Nuove,245,40,18,2454018,97,V,KLEBER,KRISALP,2714,nil,nil,72,nil,nil,nil,Scaffale negozio,Scaffale negozio,2,INVERNALE
Nuove,175,55,15,1755515,77,T,CONTINENTAL,WINTER CONTACT,2814,nil,nil,67,nil,nil,nil,Scaffale negozio,Scaffale negozio,2,INVERNALE
Nuove,205,55,17,2055517,95,V,MICHELIN,CROSS CLIMATE,3616,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ALL SEASON
